dependency,file
os,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py
pathlib,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py
pip._vendor.packaging.tags,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py
pip._vendor.packaging.utils,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py
pip._internal.exceptions,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py
pip._internal.models.direct_url,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py
pip._internal.models.link,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py
pip._internal.models.wheel,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py
pip._internal.utils.temp_dir,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py
pip._internal.utils.urls,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py
configparser,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py
locale,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py
os,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py
sys,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py
pip._internal.exceptions,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py
pip._internal.utils,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py
pip._internal.utils.compat,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py
pip._internal.utils.logging,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py
pip._internal.utils.misc,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py
configparser,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
contextlib,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
locale,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
logging,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
pathlib,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
re,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
sys,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
itertools,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
pip._vendor.packaging.requirements,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
pip._vendor.packaging.version,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
pip._vendor.rich.console,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
pip._vendor.rich.markup,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
pip._vendor.rich.text,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
hashlib,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
pip._vendor.requests.models,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
pip._internal.metadata,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
pip._internal.req.req_install,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
pip._internal.utils.hashes,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
pip._internal.utils._log,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\main.py
pip._internal.utils.entrypoints,E:\football_v\.venv\Lib\site-packages\pip\_internal\main.py
importlib.util,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py
os,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py
sys,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py
collections,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py
