error,functions,classes,lines,imports,file
,14,1,280,11,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\configuration.py
,11,1,201,19,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py
,2,1,146,12,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\download.py
,4,1,109,8,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\freeze.py
,3,1,59,9,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\hash.py
,1,1,41,6,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\help.py
,4,1,139,15,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\index.py
,3,1,92,12,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\inspect.py
,9,1,784,31,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py
,13,2,375,18,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
,7,2,172,18,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py
,5,2,224,9,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\show.py
,2,1,114,12,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\uninstall.py
,2,1,182,15,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\wheel.py
,2,0,132,5,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\__init__.py
,4,1,53,5,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\base.py
,3,1,29,4,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\installed.py
,9,1,158,8,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\sdist.py
,3,1,42,5,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\wheel.py
,1,0,21,4,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\__init__.py
,26,8,494,25,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\collector.py
,41,6,1029,30,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py
,25,6,284,10,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\sources.py
,0,0,2,0,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\__init__.py
,4,0,81,9,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\base.py
,5,0,172,13,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\_distutils.py
,8,0,214,9,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\_sysconfig.py
,18,0,456,17,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\__init__.py
,59,7,688,21,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\base.py
,32,4,301,16,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\pkg_resources.py
,3,0,86,3,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\_json.py
,7,1,128,9,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\__init__.py
,7,2,85,4,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_compat.py
