file,reference_status,reference_count,sample_reference,time
backup_delete_files,REFERENCED,2,99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.842187
check_db_tables,REFERENCED,30,Football_AI_OS_CODE_ONLY_V1.0.zip;reports\after_20260723_1000_files.csv;00_System_OS\documentation\checkpoint\FOOTBALL_AI_OS_DEVELOPMENT_BASELINE_REQUEST.txt;00_System_OS\documentation\checkpoint\FOOTBALL_AI_OS_DEVELOPMENT_STARTUP_CHECKLIST_V1.0.md;00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_registry.json,2026-07-28 21:18:36.842187
claude_backup_before_change_control,REFERENCED,12,Football_AI_OS_CODE_ONLY_V1.0.zip;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_SUMMARY_TOP200.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_SUMMARY_V1.0.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_V1.0.txt,2026-07-28 21:18:36.843165
claude_backup_before_upgrade,REFERENCED,12,Football_AI_OS_CODE_ONLY_V1.0.zip;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_SUMMARY_TOP200.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_SUMMARY_V1.0.txt;99_DOCUMENTATION\migration\ELO_LEGACY_SCAN_REPORT_V1.0.txt,2026-07-28 21:18:36.843165
conftest,REFERENCED,64,Football_AI_OS_CODE_ONLY_V1.0.zip;Football_AI_OS_CODE_ONLY_V1.0.zip;Football_AI_OS_First_Audit.md;Football_AI_OS_First_Audit.md;00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_registry.json,2026-07-28 21:18:36.843165
current_check,REFERENCED,10,Football_AI_OS_CODE_ONLY_V1.0.zip;football_v_current_tree.txt;02_Data_Platform\raw\raw_registry.json;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_LIST_V2.0.csv;99_DOCUMENTATION\migration\FINAL_REAL_DELETE_REVIEW_V3.0.csv,2026-07-28 21:18:36.843165
database_inspector,REFERENCED,31,Football_AI_OS_CODE_ONLY_V1.0.zip;00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_registry.json;00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\ARCHITECTURE_VALIDATION_REPORT_V1.1.json;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Scan_Report_V1.0.txt,2026-07-28 21:18:36.843165
deploy_ai_intelligence_v2.0,REFERENCED,32,Football_AI_OS_CODE_ONLY_V1.0.zip;Football_AI_OS_First_Audit.md;00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_registry.json;00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\ARCHITECTURE_VALIDATION_REPORT_V1.1.json;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt,2026-07-28 21:18:36.843165
deploy_console_v1_1,REFERENCED,25,Football_AI_OS_CODE_ONLY_V1.0.zip;00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_registry.json;00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\ARCHITECTURE_VALIDATION_REPORT_V1.1.json;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Scan_Report_V1.0.txt,2026-07-28 21:18:36.843165
deploy_execution_engine_stabilization_v1.0,REFERENCED,20,Football_AI_OS_CODE_ONLY_V1.0.zip;Football_AI_OS_CODE_ONLY_V1.0.zip;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Scan_Report_V1.0.txt,2026-07-28 21:18:36.843165
deploy_frozen_v15_completion,REFERENCED,36,Football_AI_OS_CODE_ONLY_V1.0.zip;00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_registry.json;00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\ARCHITECTURE_VALIDATION_REPORT_V1.1.json;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Scan_Report_V1.0.txt,2026-07-28 21:18:36.843165
deploy_integration_test_v1.5,REFERENCED,24,Football_AI_OS_CODE_ONLY_V1.0.zip;00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_registry.json;00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\ARCHITECTURE_VALIDATION_REPORT_V1.1.json;10_GOVERNANCE_LAYER\audit\Phase11_FAST_API_Simulation_Test_Validation_V1.0.json;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt,2026-07-28 21:18:36.843165
deploy_integration_validation_v1.5,REFERENCED,23,Football_AI_OS_CODE_ONLY_V1.0.zip;00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_registry.json;00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\ARCHITECTURE_VALIDATION_REPORT_V1.1.json;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Clean_Report_V1.0.txt;10_GOVERNANCE_LAYER\audit\Phase6_Dependency_Scan_Report_V1.0.txt,2026-07-28 21:18:36.843165
