file,class
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py,InstallCommand
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py,ListCommand
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py,_DistWithLatestInfo
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py,SearchCommand
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py,TransformedHit
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\show.py,ShowCommand
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\show.py,_PackageInfo
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\uninstall.py,UninstallCommand
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\wheel.py,WheelCommand
E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\base.py,AbstractDistribution
E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\installed.py,InstalledDistribution
E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\sdist.py,SourceDistribution
E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\wheel.py,WheelDistribution
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\collector.py,_NotAPIContent
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\collector.py,_NotHTTP
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\collector.py,CacheablePageContent
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\collector.py,ParseLinks
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\collector.py,IndexContent
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\collector.py,HTMLLinkParser
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\collector.py,CollectedSources
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\collector.py,LinkCollector
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py,LinkType
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py,LinkEvaluator
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py,CandidatePreferences
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py,BestCandidateResult
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py,CandidateEvaluator
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py,PackageFinder
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\sources.py,LinkSource
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\sources.py,_FlatDirectoryToUrls
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\sources.py,_FlatDirectorySource
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\sources.py,_LocalFileSource
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\sources.py,_RemoteFileSource
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\sources.py,_IndexDirectorySource
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\base.py,BaseEntryPoint
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\base.py,RequiresEntry
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\base.py,BaseDistribution
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\base.py,BaseEnvironment
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\base.py,Wheel
